Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;1;41;23;704
1;4;25;42;654
2;5;42;38;521
3;23;23;41;838
4;29;125;124;384
5;30;124;41;440
6;32;39;38;734
7;33;38;42;586
8;34;42;25;796
9;36;41;124;329
10;37;124;125;380
11;60;72;73;522
12;61;73;75;669
13;74;160;18;834
14;75;18;19;470
15;76;19;20;611
16;77;20;62;502
17;78;62;53;650
18;95;1;3;353
19;96;3;4;519
20;97;4;5;393
21;98;5;2;553
22;99;2;125;339
23;100;23;40;440
24;101;40;25;755
25;102;25;30;503
26;103;30;17;863
27;104;17;46;1001
28;105;46;44;633
29;106;44;43;587
30;107;43;45;438
31;108;25;40;545
32;109;40;23;462
33;110;125;2;353
34;111;2;5;525
35;112;5;4;424
36;113;4;3;488
37;114;3;1;353
38;115;45;43;470
39;116;43;44;552
40;117;44;46;687
41;118;46;17;654
42;119;17;30;1060
43;120;30;25;735
44;129;53;54;746
45;130;54;55;329
46;131;55;23;686
47;132;23;39;861
48;133;42;30;622
49;134;17;12;1866
50;135;12;13;546
51;136;13;10;382
52;137;10;11;531
53;138;11;10;495
54;139;10;13;430
55;140;13;12;652
56;141;12;17;1862
57;142;30;42;841
58;143;46;98;1688
59;144;98;99;465
60;145;99;98;481
61;146;98;46;1686
62;151;38;34;532
63;152;34;28;645
64;153;28;47;1003
65;172;47;28;842
66;173;28;34;668
67;174;34;38;625
68;175;38;39;685
69;176;39;23;895
70;179;25;24;551
71;180;24;21;554
72;181;21;68;733
73;182;68;67;592
74;183;67;82;361
75;194;75;47;1079
76;195;41;140;628
77;196;140;60;796
78;197;60;56;510
79;198;56;57;408
80;199;57;58;240
81;200;58;57;240
82;201;57;56;444
83;202;56;60;496
84;203;60;140;826
85;204;140;41;775
86;205;47;75;1116
87;206;75;73;417
88;207;73;72;388
89;233;159;103;150
90;234;103;105;380
91;235;105;107;1305
92;236;107;106;596
93;237;106;104;1701
94;238;104;83;1133
95;239;83;81;974
96;240;81;22;864
97;241;22;35;514
98;242;35;41;789
99;243;17;14;1317
100;244;14;17;2103
101;245;41;35;699
102;246;35;22;490
103;247;22;68;505
104;248;82;83;642
105;249;83;104;1214
106;250;104;106;1635
107;251;106;107;608
108;252;107;105;1279
109;253;105;103;380
110;254;103;159;150
111;255;107;42;7517
