Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;1;41;23;704
1;2;23;33;451
2;3;33;25;617
3;4;25;42;654
4;5;42;38;521
5;19;52;50;310
6;20;50;51;592
7;23;23;41;838
8;29;125;124;384
9;30;124;41;440
10;32;39;38;734
11;33;38;42;586
12;34;42;25;796
13;36;41;124;329
14;37;124;125;380
15;68;54;53;641
16;69;53;62;646
17;70;62;20;596
18;71;20;19;612
19;72;19;18;440
20;73;18;160;766
21;74;160;18;834
22;75;18;19;470
23;76;19;20;611
24;77;20;62;502
25;78;62;53;650
26;79;53;52;379
27;81;42;300;747
28;82;300;31;446
29;83;31;47;1107
30;84;47;74;1576
31;85;74;70;889
32;86;70;64;964
33;87;64;66;781
34;88;66;64;781
35;89;64;70;983
36;90;70;74;883
37;91;74;47;1638
38;92;47;31;877
39;93;31;300;624
40;94;300;42;921
41;95;1;3;353
42;96;3;4;519
43;97;4;5;393
44;98;5;2;553
45;99;2;125;339
46;100;23;40;440
47;101;40;25;755
48;102;25;30;503
49;103;30;17;863
50;104;17;46;1001
51;105;46;44;633
52;106;44;43;587
53;107;43;45;438
54;108;25;40;545
55;109;40;23;462
56;110;125;2;353
57;111;2;5;525
58;112;5;4;424
59;113;4;3;488
60;114;3;1;353
61;115;45;43;470
62;116;43;44;552
63;117;44;46;687
64;118;46;17;654
65;119;17;30;1060
66;120;30;25;735
67;121;25;36;557
68;122;36;29;942
69;123;29;22;542
70;124;22;112;632
71;125;112;22;674
72;126;22;29;456
73;127;29;36;2339
74;128;36;25;750
75;129;53;54;746
76;130;54;55;329
77;131;55;23;686
78;132;23;39;861
79;133;42;30;622
80;134;17;12;1866
81;135;12;13;546
82;136;13;10;382
83;137;10;11;531
84;138;11;10;495
85;139;10;13;430
86;140;13;12;652
87;141;12;17;1862
88;142;30;42;841
89;151;38;34;532
90;152;34;28;645
91;172;47;28;842
92;173;28;34;668
93;174;34;38;625
94;175;38;39;685
95;176;39;23;895
96;177;23;55;903
97;178;55;54;289
98;179;25;24;551
99;180;24;21;554
100;181;21;68;733
101;182;68;67;592
102;183;67;82;361
103;184;82;67;391
104;185;67;68;592
105;186;68;21;828
106;187;21;24;442
107;188;24;25;723
108;208;17;16;380
109;209;16;15;674
110;210;15;164;407
111;211;164;100;610
112;212;100;101;527
113;213;101;102;497
114;214;102;110;1788
115;215;110;113;643
116;216;113;109;324
117;217;109;115;604
118;218;115;109;648
119;219;109;113;310
120;220;113;110;616
121;221;110;102;1814
122;222;102;101;490
123;223;101;100;513
124;224;100;164;626
125;225;164;15;513
126;226;15;16;576
127;227;16;17;719
128;228;112;116;563
129;229;116;49;1180
130;230;49;116;1113
131;231;116;112;591
132;232;29;23;1769
133;267;51;39;683
