Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;2;23;33;451
1;3;33;25;617
2;5;42;38;521
3;33;38;42;586
4;34;42;25;796
5;102;25;30;503
6;103;30;17;863
7;119;17;30;1060
8;120;30;25;735
9;121;25;36;557
10;122;36;29;942
11;123;29;22;542
12;124;22;112;632
13;125;112;22;674
14;126;22;29;456
15;142;30;42;841
16;151;38;34;532
17;152;34;28;645
18;173;28;34;668
19;174;34;38;625
20;208;17;16;380
21;209;16;15;674
22;210;15;164;407
23;211;164;100;610
24;212;100;101;527
25;213;101;102;497
26;214;102;110;1788
27;215;110;113;643
28;216;113;109;324
29;217;109;115;604
30;218;115;109;648
31;219;109;113;310
32;220;113;110;616
33;221;110;102;1814
34;222;102;101;490
35;223;101;100;513
36;224;100;164;626
37;225;164;15;513
38;226;15;16;576
39;227;16;17;719
40;228;112;116;563
41;229;116;49;1180
42;230;49;116;1113
43;231;116;112;591
44;232;29;23;1769
